T,M,Time
1,1,0.423715
1,10,15.918233
1,20,30.430826
1,30,43.844952
1,40,49.958866
1,50,60.163672
1,100,60.189905
10,1,0.213084
10,10,1.906461
10,20,3.453095
10,30,4.893263
10,40,5.443258
10,50,6.783853
10,100,6.647247
20,1,0.212574
20,10,1.209064
20,20,1.888055
20,30,2.653186
20,40,3.025053
20,50,3.771324
20,100,3.847156
